Jawaban,Produk,Fitur,Bahan
"[3, 1, 2, 4, 1, 1, 3, 1, 4, 3, 3, 1, 4, 4]","Sunscreen, Serum","Acne Free, Balancing","Allantoin, Niacinamide, Water, Panthenol"
"[2, 3, 1, 2, 2, 2, 1, 2, 2, 1, 4, 3, 1, 2]","Sunscreen, Cleanser","Oil Control, Balanced","Niacinamide, Salicylic Acid, Allantoin, Panthenol"
"[1, 1, 1, 3, 3, 1, 1, 2, 4, 2, 3, 4, 4, 3]","Sunscreen, Moisturizer","Protective, UV Protection","Niacinamide, Allantoin, Water, Glycerin"
"[2, 1, 1, 2, 1, 3, 4, 1, 3, 3, 2, 3, 1, 4]","Sunscreen, Calming Mask","Calming, Pore Care","Allantoin, Niacinamide, Salicylic Acid, Cica"
"[3, 4, 4, 3, 2, 4, 2, 3, 3, 2, 3, 4, 2, 4]","Sunscreen, Serum","Balancing, Custom Care","Niacinamide, Panthenol, Allantoin, Salicylic Acid"
"[2, 2, 3, 1, 1, 2, 1, 2, 2, 2, 3, 1, 2, 3]","Sunscreen, Cleanser","Pore Care, Oil Control","Niacinamide, Salicylic Acid, Panthenol, Cica"
"[3, 3, 2, 4, 2, 1, 4, 1, 3, 2, 3, 1, 2, 3]","Sunscreen, Serum","Balanced, Acne Free","Niacinamide, Allantoin, Panthenol, Water"
"[1, 3, 2, 4, 1, 2, 3, 2, 4, 3, 1, 3, 2, 1]","Sunscreen, Moisturizer","Hydrating, Balanced","Allantoin, Panthenol, Ceramide, Niacinamide"
"[3, 3, 3, 1, 1, 2, 1, 1, 3, 1, 2, 2, 4, 3]","Sunscreen, Essence","Acne Prevention, Calming","Allantoin, Cica, Glycerin, Panthenol"
"[2, 3, 2, 4, 2, 1, 1, 1, 2, 2, 4, 3, 1, 1]","Moisturizer, Sunscreen","Balanced, Balancing","Niacinamide, Allantoin, Ceramide, Panthenol"
"[3, 3, 4, 2, 4, 4, 2, 3, 1, 2, 3, 1, 1, 1]","Moisturizer, Cleanser","Balanced, Custom Care","Niacinamide, Salicylic Acid, Allantoin, Panthenol"
"[2, 4, 4, 3, 4, 3, 1, 4, 3, 4, 2, 3, 1, 3]","Sunscreen, Mask","Custom Care, Pore Care","Niacinamide, Salicylic Acid, Allantoin, Panthenol"
"[1, 3, 2, 3, 2, 2, 4, 4, 3, 1, 1, 3, 3, 4]","Sunscreen, Serum","Balanced, Custom Care","Panthenol, Niacinamide, Allantoin, Glycol"
"[2, 1, 4, 2, 3, 3, 4, 4, 2, 2, 1, 3, 3, 3]","Sunscreen, Cleanser","Protective, Pore Care","Niacinamide, Salicylic Acid, Panthenol, Ceramide"
"[3, 2, 4, 2, 1, 4, 2, 3, 4, 4, 2, 2, 4, 2]","Sunscreen, Essence","Balanced Hydration, Pore Care","Allantoin, Salicylic Acid, Water, Niacinamide"
"[3, 1, 3, 2, 4, 1, 3, 3, 3, 1, 4, 3, 4, 2]","Sunscreen, Serum","Balanced Hydration, Custom Care","Allantoin, Niacinamide, Water, Panthenol"
"[1, 2, 3, 4, 2, 3, 3, 1, 1, 3, 2, 1, 3, 1]","Serum, Moisturizer","Hydrating, Soothing","Ceramide, Glycerin, Allantoin, Salicylic Acid"
"[2, 3, 3, 2, 1, 4, 4, 1, 1, 4, 2, 4, 1, 1]","Moisturizer, Calming Mask","Calming, Custom Care","Allantoin, Cica, Salicylic Acid, Niacinamide"
"[2, 4, 4, 4, 2, 2, 2, 4, 1, 1, 1, 1, 3, 1]","Cleanser, Sunscreen","Pore Care, Acne Free","Salicylic Acid, Niacinamide, Panthenol, Ceramide"
"[2, 3, 2, 4, 4, 1, 4, 2, 3, 1, 3, 3, 2, 2]","Sunscreen, Serum","Balanced, Custom Care","Panthenol, Niacinamide, Allantoin, Salicylic Acid"
"[4, 2, 4, 2, 3, 4, 3, 3, 4, 4, 4, 1, 4, 2]","Sunscreen, Serum","Balancing, Pore Care","Salicylic Acid, Niacinamide, Panthenol, Allantoin"
"[4, 2, 4, 2, 4, 1, 2, 3, 2, 4, 4, 4, 2, 3]","Sunscreen, Cleanser","Balancing, Oil Control","Salicylic Acid, Panthenol, Niacinamide, Allantoin"
"[4, 1, 4, 1, 2, 3, 3, 2, 1, 3, 3, 1, 3, 1]","Serum, Sunscreen","Hydrating, Soothing","Panthenol, Niacinamide, Glycerin, Ceramide"
"[4, 2, 4, 2, 4, 1, 1, 4, 4, 2, 3, 3, 3, 2]","Sunscreen, Booster","Balanced, Custom Care","Niacinamide, Panthenol, Salicylic Acid, Allantoin"
"[4, 2, 4, 3, 2, 3, 2, 1, 2, 1, 1, 1, 3, 3]","Sunscreen, Cleanser","Balancing, Protective","Salicylic Acid, Niacinamide, Panthenol, Allantoin"
"[3, 1, 2, 2, 3, 1, 2, 3, 1, 2, 3, 2, 1, 1]","Sunscreen, Toner","Acne Free, Protective","Niacinamide, Allantoin, Water, Salicylic Acid"
"[4, 3, 2, 1, 2, 2, 1, 1, 2, 3, 4, 4, 3, 1]","Sunscreen, Moisturizer","Balancing, Balanced","Panthenol, Allantoin, Niacinamide, Glycerin"
"[4, 2, 3, 1, 4, 4, 3, 2, 4, 1, 3, 4, 1, 4]","Serum, Sunscreen","Balancing, Custom Care","Panthenol, Allantoin, Glycol, Cica"
"[3, 2, 3, 4, 3, 2, 1, 3, 3, 2, 2, 4, 1, 2]","Sunscreen, Serum","Protective, Balanced Hydration","Allantoin, Niacinamide, Cica, Bakuchiol"
"[2, 3, 2, 4, 2, 2, 2, 4, 4, 3, 4, 2, 3, 2]","Sunscreen, Cleanser","Balanced, Acne Free","Panthenol, Niacinamide, Allantoin, Salicylic Acid"
"[1, 4, 1, 2, 4, 2, 1, 2, 1, 3, 3, 4, 4, 4]","Sunscreen, Moisturizer","Hydrating, Oil Control","Niacinamide, Glycerin, Salicylic Acid, Panthenol"
"[3, 3, 1, 2, 2, 3, 2, 3, 4, 1, 3, 2, 2, 1]","Sunscreen, Essence","Balanced, Acne Free","Allantoin, Salicylic Acid, Niacinamide, Panthenol"
"[4, 3, 2, 1, 1, 3, 1, 1, 2, 3, 4, 1, 4, 1]","Moisturizer, Calming Mask","Balancing, Acne Free","Allantoin, Panthenol, Niacinamide, Glycerin"
"[3, 3, 1, 3, 4, 2, 1, 2, 4, 3, 1, 3, 2, 3]","Sunscreen, Moisturizer","Balanced, Balancing","Allantoin, Panthenol, Water, Niacinamide"
"[4, 3, 1, 4, 3, 2, 2, 2, 4, 3, 4, 1, 3, 3]","Sunscreen, Serum","Balancing, Acne Free","Niacinamide, Panthenol, Allantoin, Salicylic Acid"
"[3, 2, 4, 3, 3, 4, 3, 3, 2, 4, 1, 4, 3, 3]","Sunscreen, Essence","Protective, Balanced","Niacinamide, Allantoin, Salicylic Acid, Water"
"[4, 2, 4, 2, 4, 1, 2, 4, 3, 3, 4, 2, 2, 3]","Booster, Sunscreen","Balancing, Custom Care","Panthenol, Salicylic Acid, Glycol, Niacinamide"
"[1, 4, 3, 4, 2, 4, 4, 3, 1, 1, 1, 4, 2, 1]","Moisturizer, Serum","Hydrating, Balancing","Panthenol, Ceramide, Glycerin, Niacinamide"
"[3, 3, 3, 3, 2, 3, 3, 4, 1, 3, 2, 3, 1, 3]","Sunscreen, Essence","Balanced, Soothing","Allantoin, Water, Cica, Panthenol"
"[4, 4, 4, 4, 2, 3, 3, 2, 3, 4, 1, 4, 1, 2]","Serum, Mask","Balancing, Soothing","Panthenol, Allantoin, Salicylic Acid, Ceramide"
"[3, 2, 3, 4, 1, 4, 1, 3, 1, 2, 1, 2, 4, 1]","Moisturizer, Sunscreen","Acne Prevention, Hydrating","Cica, Panthenol, Allantoin, Ceramide"
"[1, 3, 2, 3, 1, 2, 3, 4, 1, 3, 4, 1, 3, 3]","Sunscreen, Moisturizer","Hydrating, Balanced","Niacinamide, Allantoin, Ceramide, Glycerin"
"[1, 3, 2, 2, 4, 3, 3, 2, 1, 4, 3, 2, 3, 3]","Moisturizer, Sunscreen","Balanced, Hydrating","Niacinamide, Ceramide, Panthenol, Glycerin"
"[2, 3, 4, 3, 3, 4, 3, 1, 1, 1, 1, 2, 4, 2]","Sunscreen, Moisturizer","Pore Care, Balanced","Allantoin, Panthenol, Cica, Salicylic Acid"
"[3, 2, 3, 3, 2, 1, 2, 1, 4, 1, 2, 1, 2, 1]","Sunscreen, Essence","UV Protection, Balancing","Allantoin, Water, Salicylic Acid, Cica"
"[4, 2, 1, 4, 1, 2, 3, 3, 2, 3, 1, 4, 2, 1]","Sunscreen, Serum","Balancing, Oil Control","Panthenol, Salicylic Acid, Allantoin, Niacinamide"
"[2, 2, 4, 2, 4, 4, 4, 4, 4, 2, 1, 2, 3, 3]","Booster, Sunscreen","Custom Care, Pore Care","Panthenol, Niacinamide, Salicylic Acid, Cica"
"[2, 3, 1, 2, 4, 3, 3, 2, 3, 2, 2, 2, 3, 1]","Sunscreen, Serum","Balanced, Custom Care","Niacinamide, Salicylic Acid, Panthenol, Allantoin"
"[1, 4, 4, 3, 1, 3, 1, 1, 1, 3, 2, 4, 3, 4]","Sunscreen, Moisturizer","Hydrating, Balancing","Allantoin, Glycerin, Ceramide, Niacinamide"
"[2, 1, 4, 3, 4, 3, 3, 3, 4, 4, 3, 4, 2, 3]","Sunscreen, Booster","Protective, Pore Care","Niacinamide, Allantoin, Salicylic Acid, Water"
"[1, 3, 3, 4, 1, 2, 4, 1, 3, 3, 4, 2, 3, 3]","Sunscreen, Serum","Balanced, Acne Prevention","Allantoin, Cica, Panthenol, Ceramide"
"[1, 1, 4, 4, 2, 3, 1, 4, 3, 3, 1, 1, 1, 1]","Moisturizer, Serum","Hydrating, Custom Care","Ceramide, Panthenol, Glycerin, Niacinamide"
"[1, 1, 3, 1, 2, 1, 2, 1, 3, 1, 1, 2, 1, 4]","Serum, Calming Mask","Hydrating, Acne Prevention","Cica, Panthenol, Allantoin, Glycerin"
"[3, 2, 4, 4, 3, 3, 2, 3, 1, 4, 3, 2, 1, 4]","Sunscreen, Essence","Balancing, Protective","Salicylic Acid, Ceramide, Panthenol, Niacinamide"
"[1, 4, 1, 4, 3, 1, 1, 2, 3, 3, 2, 4, 1, 3]","Sunscreen, Serum","Protective, Soothing","Allantoin, Niacinamide, Glycerin, Ceramide"
"[1, 1, 2, 2, 2, 1, 1, 4, 2, 4, 3, 4, 4, 3]","Sunscreen, Moisturizer","Oil Control, Protective","Niacinamide, Allantoin, Glycerin, Salicylic Acid"
"[2, 2, 1, 3, 3, 2, 3, 1, 3, 2, 2, 2, 3, 1]","Sunscreen, Serum","Pore Care, Protective","Niacinamide, Salicylic Acid, Allantoin, Retinol"
"[4, 3, 1, 2, 3, 4, 3, 1, 2, 3, 1, 2, 3, 3]","Sunscreen, Serum","Balanced, Oil Control","Niacinamide, Panthenol, Allantoin, Salicylic Acid"
"[4, 1, 3, 2, 1, 3, 3, 3, 2, 2, 2, 2, 1, 2]","Serum, Sunscreen","Acne Prevention, Oil Control","Niacinamide, Cica, Allantoin, Panthenol"
"[2, 4, 3, 1, 2, 3, 1, 4, 1, 1, 2, 3, 1, 2]","Sunscreen, Serum","Pore Care, Hydrating","Allantoin, Niacinamide, Glycerin, Panthenol"
"[4, 3, 1, 1, 2, 4, 4, 1, 4, 2, 4, 3, 3, 1]","Sunscreen, Booster","Balanced, Balancing","Panthenol, Allantoin, Niacinamide, Glycerin"
"[2, 1, 4, 2, 3, 3, 2, 3, 2, 2, 1, 1, 2, 3]","Cleanser, Sunscreen","Protective, Pore Care","Niacinamide, Salicylic Acid, Panthenol, Ceramide"
"[4, 3, 2, 2, 4, 1, 4, 4, 3, 4, 3, 2, 1, 4]","Serum, Booster","Custom Care, Balancing","Panthenol, Glycol, Allantoin, Niacinamide"
"[2, 2, 4, 2, 3, 4, 4, 1, 4, 1, 4, 4, 3, 3]","Sunscreen, Booster","Protective, Pore Care","Niacinamide, Salicylic Acid, Allantoin, Panthenol"
"[2, 2, 2, 4, 3, 1, 1, 2, 1, 4, 4, 2, 3, 2]","Sunscreen, Spot Treatment","Pore Care, Balancing","Niacinamide, Panthenol, Ceramide, Salicylic Acid"
"[3, 2, 2, 1, 2, 1, 2, 3, 2, 1, 3, 2, 1, 2]","Sunscreen, Spot Treatment","Balanced Hydration, Acne Free","Allantoin, Niacinamide, Salicylic Acid, Panthenol"
"[4, 1, 3, 4, 4, 4, 4, 2, 4, 3, 2, 4, 3, 2]","Sunscreen, Serum","Custom Care, Balancing","Panthenol, Allantoin, Niacinamide, Glycol"
"[1, 2, 1, 1, 1, 2, 4, 3, 4, 2, 3, 4, 2, 1]","Sunscreen, Moisturizer","Hydrating, Balanced","Niacinamide, Glycerin, Panthenol, Allantoin"
"[4, 3, 2, 2, 4, 4, 4, 4, 1, 2, 4, 4, 4, 4]","Booster, Sunscreen","Custom Care, Balancing","Panthenol, Glycol, Allantoin, Niacinamide"
"[1, 2, 1, 3, 1, 1, 4, 1, 3, 4, 3, 1, 2, 3]","Sunscreen, Calming Mask","Acne Free, Balancing","Allantoin, Salicylic Acid, Niacinamide, Water"
"[3, 4, 2, 3, 3, 3, 1, 4, 2, 3, 2, 1, 2, 3]","Sunscreen, Essence","Protective, Acne Free","Niacinamide, Allantoin, Salicylic Acid, Water"
"[4, 2, 1, 2, 1, 1, 1, 1, 1, 2, 3, 4, 2, 3]","Sunscreen, Calming Mask","Protective, Balancing","Niacinamide, Allantoin, Salicylic Acid, Panthenol"
"[4, 1, 2, 4, 1, 3, 3, 4, 4, 3, 2, 1, 1, 2]","Serum, Sunscreen","Balancing, Acne Free","Allantoin, Panthenol, Niacinamide, Glycol"
"[2, 4, 2, 3, 2, 4, 2, 2, 3, 4, 2, 1, 4, 4]","Serum, Cleanser","Acne Free, Soothing","Salicylic Acid, Niacinamide, Panthenol, Allantoin"
"[1, 1, 4, 1, 2, 3, 1, 1, 4, 3, 3, 2, 1, 1]","Moisturizer, Sunscreen","Hydrating, Calming","Glycerin, Allantoin, Ceramide, Panthenol"
"[3, 1, 4, 1, 3, 1, 3, 4, 2, 2, 3, 1, 3, 1]","Sunscreen, Cleanser","Hydrating, Protective","Niacinamide, Salicylic Acid, Water, Allantoin"
"[4, 2, 2, 4, 4, 3, 2, 3, 4, 4, 4, 2, 1, 1]","Serum, Spot Treatment","Balancing, Acne Free","Panthenol, Ceramide, Salicylic Acid, Niacinamide"
"[2, 2, 4, 2, 4, 3, 2, 3, 1, 4, 2, 2, 4, 4]","Cleanser, Essence","Pore Care, Acne Treatment","Salicylic Acid, Niacinamide, Panthenol, Ceramide"
"[3, 1, 1, 3, 4, 2, 2, 1, 3, 4, 1, 4, 1, 3]","Sunscreen, Calming Mask","Acne Free, Custom Care","Allantoin, Niacinamide, Cica, Water"
"[1, 2, 2, 1, 4, 4, 4, 1, 4, 3, 2, 4, 2, 2]","Booster, Sunscreen","Custom Care, Hydrating","Allantoin, Panthenol, Glycerin, Ceramide"
"[4, 3, 3, 4, 3, 3, 3, 2, 2, 4, 1, 2, 4, 1]","Serum, Moisturizer","Balancing, Acne Prevention","Panthenol, Cica, Ceramide, Allantoin"
"[2, 3, 1, 1, 4, 2, 1, 3, 3, 1, 2, 1, 2, 4]","Sunscreen, Cleanser","Balanced, Acne Free","Niacinamide, Panthenol, Salicylic Acid, Allantoin"
"[1, 1, 2, 2, 3, 1, 3, 2, 4, 4, 4, 2, 3, 4]","Sunscreen, Serum","UV Protection, Balancing","Niacinamide, Panthenol, Ceramide, Allantoin"
"[4, 4, 2, 1, 1, 4, 2, 2, 2, 1, 1, 1, 2, 1]","Cleanser, Serum","Acne Free, Balancing","Panthenol, Niacinamide, Salicylic Acid, Glycerin"
"[4, 4, 4, 2, 3, 2, 2, 4, 2, 2, 4, 3, 2, 3]","Sunscreen, Cleanser","Balancing, Oil Control","Niacinamide, Salicylic Acid, Panthenol, Glycol"
"[3, 1, 3, 3, 2, 3, 4, 3, 3, 2, 1, 2, 4, 2]","Sunscreen, Serum","Balanced Hydration, Acne Prevention","Allantoin, Panthenol, Niacinamide, Cica"
"[3, 4, 2, 3, 4, 3, 1, 1, 3, 4, 1, 4, 4, 1]","Sunscreen, Essence","Custom Care, Protective","Allantoin, Water, Niacinamide, Panthenol"
"[1, 2, 2, 4, 3, 2, 3, 4, 3, 1, 2, 1, 3, 3]","Sunscreen, Serum","Acne Free, Protective","Niacinamide, Ceramide, Salicylic Acid, Panthenol"
"[1, 1, 4, 1, 2, 2, 1, 3, 3, 1, 3, 2, 4, 1]","Sunscreen, Moisturizer","Hydrating, Balanced","Glycerin, Niacinamide, Panthenol, Ceramide"
"[1, 4, 2, 1, 2, 2, 2, 3, 1, 1, 3, 2, 1, 2]","Sunscreen, Moisturizer","Hydrating, Acne Free","Niacinamide, Glycerin, Panthenol, Allantoin"
"[1, 4, 1, 3, 1, 3, 3, 4, 1, 2, 1, 3, 1, 1]","Sunscreen, Moisturizer","Hydrating, Calming","Ceramide, Glycerin, Niacinamide, Allantoin"
"[3, 4, 2, 4, 2, 2, 2, 3, 4, 2, 4, 4, 3, 3]","Sunscreen, Serum","Protective, Acne Free","Niacinamide, Allantoin, Panthenol, Water"
"[3, 3, 3, 4, 2, 2, 4, 1, 1, 4, 4, 2, 2, 3]","Serum, Booster","Balancing, Acne Prevention","Panthenol, Allantoin, Cica, Ceramide"
"[4, 3, 4, 3, 1, 3, 2, 2, 2, 4, 2, 1, 2, 2]","Cleanser, Serum","Balancing, Acne Free","Allantoin, Salicylic Acid, Panthenol, Niacinamide"
"[3, 4, 4, 2, 2, 2, 1, 2, 2, 4, 2, 3, 2, 4]","Serum, Essence","Oil Control, Soothing","Niacinamide, Salicylic Acid, Panthenol, Allantoin"
"[2, 3, 4, 1, 1, 4, 4, 2, 2, 3, 1, 4, 1, 1]","Calming Mask, Cleanser","Hydrating, Calming","Allantoin, Panthenol, Salicylic Acid, Cica"
"[3, 1, 3, 2, 2, 2, 3, 4, 1, 2, 3, 4, 2, 4]","Serum, Sunscreen","Oil Control, Protective","Niacinamide, Panthenol, Allantoin, Glycol"
"[2, 1, 3, 3, 2, 1, 2, 4, 3, 2, 1, 1, 1, 1]","Cleanser, Serum","Pore Care, Acne Free","Niacinamide, Salicylic Acid, Cica, Allantoin"
"[3, 2, 4, 3, 3, 4, 3, 4, 3, 1, 2, 4, 4, 3]","Sunscreen, Essence","Protective, Custom Care","Allantoin, Water, Salicylic Acid, Niacinamide"
"[4, 1, 1, 4, 3, 3, 2, 2, 4, 2, 2, 2, 4, 2]","Sunscreen, Serum","Protective, Balancing","Panthenol, Allantoin, Niacinamide, Salicylic Acid"
"[4, 1, 2, 4, 1, 3, 2, 2, 2, 4, 1, 3, 2, 4]","Serum, Calming Mask","Balancing, Acne Free","Panthenol, Niacinamide, Glycol, Ceramide"
"[4, 3, 1, 1, 2, 4, 1, 1, 3, 4, 2, 3, 4, 2]","Sunscreen, Serum","Balanced, Soothing","Allantoin, Panthenol, Glycerin, Bakuchiol"
"[3, 4, 1, 1, 4, 4, 3, 4, 2, 1, 3, 2, 2, 4]","Booster, Sunscreen","Custom Care, Balancing","Panthenol, Niacinamide, Salicylic Acid, Allantoin"
"[2, 2, 2, 4, 4, 3, 2, 3, 4, 1, 1, 1, 3, 2]","Sunscreen, Cleanser","Acne Free, Pore Care","Niacinamide, Salicylic Acid, Panthenol, Allantoin"
"[4, 2, 4, 1, 4, 4, 2, 2, 1, 4, 4, 3, 1, 1]","Booster, Serum","Hydrating, Balancing","Panthenol, Salicylic Acid, Glycerin, Ceramide"
"[4, 3, 4, 4, 3, 3, 1, 3, 2, 1, 1, 2, 2, 4]","Serum, Sunscreen","Balancing, Balanced","Panthenol, Niacinamide, Glycol, Allantoin"
"[2, 4, 4, 3, 2, 2, 4, 2, 3, 4, 4, 3, 1, 2]","Sunscreen, Serum","Pore Care, Balancing","Niacinamide, Panthenol, Salicylic Acid, Allantoin"
"[4, 4, 4, 4, 4, 1, 3, 1, 2, 4, 3, 1, 4, 2]","Sunscreen, Serum","Balancing, Pore Care","Niacinamide, Salicylic Acid, Allantoin, Panthenol"
"[3, 1, 1, 1, 4, 1, 1, 3, 2, 1, 3, 4, 3, 2]","Sunscreen, Essence","Balanced, Balanced Hydration","Allantoin, Niacinamide, Water, Salicylic Acid"
"[3, 3, 4, 1, 3, 4, 2, 4, 2, 2, 3, 4, 1, 1]","Sunscreen, Moisturizer","Protective, Balanced","Allantoin, Niacinamide, Salicylic Acid, Panthenol"
"[4, 2, 4, 1, 4, 3, 3, 4, 1, 2, 2, 1, 1, 4]","Serum, Booster","Balancing, Hydrating","Panthenol, Glycol, Salicylic Acid, Glycerin"
"[1, 1, 1, 2, 4, 3, 1, 3, 1, 3, 2, 1, 3, 2]","Sunscreen, Moisturizer","Hydrating, Acne Free","Niacinamide, Glycerin, Ceramide, Salicylic Acid"
"[3, 4, 2, 4, 4, 1, 4, 4, 3, 1, 4, 1, 1, 1]","Booster, Serum","Custom Care, Acne Free","Panthenol, Allantoin, Niacinamide, Ceramide"
"[4, 1, 4, 1, 2, 4, 4, 2, 1, 3, 4, 2, 3, 1]","Serum, Booster","Hydrating, Balancing","Panthenol, Glycerin, Ceramide, Niacinamide"
"[1, 2, 4, 4, 1, 2, 1, 3, 4, 3, 1, 4, 3, 4]","Sunscreen, Moisturizer","Balancing, Balanced","Allantoin, Panthenol, Niacinamide, Glycerin"
"[2, 3, 2, 1, 3, 1, 2, 3, 3, 1, 2, 2, 2, 4]","Sunscreen, Cleanser","Balanced, Acne Free","Niacinamide, Allantoin, Panthenol, Salicylic Acid"
"[3, 3, 4, 4, 1, 2, 3, 3, 3, 2, 1, 4, 4, 4]","Sunscreen, Serum","Balanced, Balancing","Allantoin, Panthenol, Niacinamide, Cica"
"[3, 3, 1, 2, 3, 2, 1, 4, 3, 3, 2, 3, 3, 3]","Sunscreen, Essence","Balanced, Oil Control","Niacinamide, Allantoin, Salicylic Acid, Bakuchiol"
"[3, 2, 2, 4, 4, 3, 4, 4, 4, 1, 4, 3, 1, 1]","Booster, Sunscreen","Custom Care, Balancing","Panthenol, Allantoin, Ceramide, Water"
"[1, 2, 1, 3, 2, 2, 1, 4, 3, 1, 2, 2, 4, 3]","Sunscreen, Moisturizer","Soothing, Custom Care","Allantoin, Panthenol, Glycerin, Salicylic Acid"
"[4, 2, 3, 4, 4, 3, 2, 3, 4, 2, 1, 1, 3, 3]","Sunscreen, Serum","Protective, Balancing","Niacinamide, Panthenol, Salicylic Acid, Cica"
"[4, 1, 2, 3, 2, 4, 2, 4, 1, 1, 2, 4, 4, 1]","Sunscreen, Serum","Balancing, Acne Free","Allantoin, Panthenol, Glycol, Niacinamide"
"[1, 4, 1, 1, 3, 3, 2, 2, 2, 1, 2, 4, 1, 4]","Sunscreen, Essence","Protective, Hydrating","Salicylic Acid, Allantoin, Niacinamide, Panthenol"
"[2, 3, 4, 1, 1, 3, 2, 1, 4, 1, 1, 3, 1, 1]","Calming Mask, Sunscreen","Calming, Balanced","Allantoin, Cica, Salicylic Acid, Niacinamide"
"[2, 1, 1, 3, 2, 2, 3, 3, 2, 3, 3, 2, 4, 4]","Sunscreen, Serum","Pore Care, Balancing","Niacinamide, Salicylic Acid, Allantoin, Panthenol"
"[4, 1, 3, 1, 2, 1, 3, 3, 3, 2, 4, 4, 1, 2]","Serum, Sunscreen","Balancing, Protective","Panthenol, Allantoin, Niacinamide, Cica"
"[3, 2, 1, 4, 4, 3, 2, 1, 2, 3, 4, 1, 2, 1]","Booster, Cleanser","Acne Free, Balancing","Salicylic Acid, Ceramide, Panthenol, Allantoin"
"[2, 4, 1, 2, 2, 3, 4, 2, 1, 4, 4, 4, 3, 1]","Sunscreen, Cleanser","Pore Care, Soothing","Salicylic Acid, Niacinamide, Panthenol, Ceramide"
"[1, 2, 1, 2, 2, 3, 2, 1, 2, 2, 1, 1, 4, 1]","Cleanser, Sunscreen","Acne Free, Hydrating","Salicylic Acid, Niacinamide, Ceramide, Glycerin"
"[3, 4, 1, 1, 4, 1, 3, 4, 3, 4, 4, 3, 1, 1]","Sunscreen, Booster","Custom Care, Hydrating","Panthenol, Allantoin, Water, Niacinamide"
"[1, 3, 2, 4, 2, 4, 1, 1, 1, 4, 3, 2, 3, 2]","Moisturizer, Sunscreen","Balanced, Hydrating","Panthenol, Glycerin, Ceramide, Allantoin"
"[3, 4, 2, 1, 4, 2, 3, 1, 3, 1, 1, 1, 3, 2]","Sunscreen, Serum","Balanced Hydration, Acne Free","Niacinamide, Allantoin, Panthenol, Salicylic Acid"
"[2, 4, 3, 4, 3, 4, 4, 1, 1, 4, 3, 3, 3, 4]","Sunscreen, Serum","Balanced, Pore Care","Niacinamide, Panthenol, Salicylic Acid, Cica"
"[3, 4, 1, 3, 1, 1, 3, 3, 2, 3, 4, 1, 4, 2]","Sunscreen, Cleanser","Balanced Hydration, Acne Free","Allantoin, Niacinamide, Salicylic Acid, Water"
"[4, 1, 4, 4, 3, 4, 3, 1, 4, 3, 3, 3, 3, 2]","Sunscreen, Serum","Balanced, Balancing","Niacinamide, Allantoin, Panthenol, Glycol"
"[3, 4, 4, 2, 4, 1, 4, 3, 4, 3, 1, 3, 3, 2]","Sunscreen, Mask","Balanced, Balanced Hydration","Allantoin, Niacinamide, Water, Salicylic Acid"
"[3, 3, 1, 4, 2, 2, 4, 3, 3, 2, 3, 1, 4, 2]","Sunscreen, Serum","Balanced, Balanced Hydration","Niacinamide, Allantoin, Panthenol, Salicylic Acid"
"[4, 3, 2, 2, 1, 4, 2, 2, 2, 2, 1, 3, 4, 4]","Serum, Cleanser","Balancing, Balanced","Panthenol, Niacinamide, Allantoin, Salicylic Acid"
"[3, 2, 3, 1, 2, 4, 4, 3, 2, 2, 2, 3, 2, 2]","Sunscreen, Booster","Balanced Hydration, Soothing","Panthenol, Niacinamide, Allantoin, Salicylic Acid"
"[1, 3, 3, 4, 1, 2, 3, 4, 1, 1, 1, 4, 3, 2]","Sunscreen, Moisturizer","Hydrating, Balanced","Allantoin, Ceramide, Cica, Panthenol"
"[4, 1, 3, 2, 2, 3, 2, 3, 1, 1, 4, 4, 3, 1]","Sunscreen, Serum","Balancing, Protective","Niacinamide, Ceramide, Panthenol, Salicylic Acid"
"[3, 3, 3, 4, 3, 2, 4, 3, 2, 3, 4, 4, 4, 3]","Sunscreen, Serum","Protective, Balanced","Allantoin, Niacinamide, Panthenol, Ceramide"
"[4, 4, 2, 3, 2, 1, 3, 3, 3, 1, 2, 3, 2, 1]","Sunscreen, Serum","Balancing, Soothing","Niacinamide, Allantoin, Panthenol, Water"
"[4, 4, 3, 4, 4, 3, 2, 2, 1, 2, 2, 2, 1, 1]","Serum, Essence","Balancing, Acne Prevention","Panthenol, Ceramide, Cica, Niacinamide"
"[4, 1, 2, 1, 2, 2, 4, 1, 1, 4, 1, 4, 1, 3]","Sunscreen, Calming Mask","Hydrating, Calming","Panthenol, Niacinamide, Cica, Allantoin"
"[3, 2, 4, 3, 2, 4, 3, 3, 2, 3, 4, 3, 3, 1]","Sunscreen, Serum","Balanced, Balancing","Niacinamide, Allantoin, Salicylic Acid, Panthenol"
"[3, 3, 1, 3, 3, 3, 1, 3, 2, 1, 2, 3, 2, 4]","Sunscreen, Essence","Balanced, Balancing","Allantoin, Niacinamide, Water, Salicylic Acid"
"[4, 3, 4, 4, 1, 2, 1, 4, 1, 4, 2, 4, 2, 1]","Moisturizer, Serum","Balancing, Hydrating","Panthenol, Allantoin, Ceramide, Glycerin"
"[3, 1, 2, 3, 3, 1, 1, 4, 4, 2, 2, 4, 3, 3]","Sunscreen, Essence","Protective, UV Protection","Allantoin, Niacinamide, Water, Glycerin"
